Comment,Designator,Footprint,JLCPCB Part #,Manufacturer,Manufacturer Part Number,Quantity
22uF 16V X5R,C1,0805,,,,1
22uF 10V X5R,"C2,C8",0805,,,,2
10uF 16V X5R,C3,0805,,,,1
100nF 50V X7R,"C4,C6",0603,,,,2
CL10B105KO8NNNC,C5,0603,C59782,Samsung Electro-Mechanics,CL10B105KO8NNNC,1
100nF 16V X7R,C7,0603,,,,1
SS14-E3/61T,D1,SMA,C47460,Vishay,SS14-E3/61T,1
LED Red,D2,0603,,,,1
LED Blue,D3,0603,,,,1
MF-NSMF110/16X-2,F1,1206,C25415531,Bourns,MF-NSMF110/16X-2,1
Female Socket 1x20 2.54mm Vertical,"H1,H2",Through Hole 1x20 P2.54mm Female,,,,2
USB4105-GF-A-120,J1,USB4105-GF-A-120,C5184243,GCT,USB4105-GF-A-120,1
SRN4018-4R7M,L1,4x4mm SRN4018,C780206,Bourns,SRN4018-4R7M,1
0603WAF5101T5E,"R1,R2",0603,C23186,UNI-ROYAL,0603WAF5101T5E,2
0603WAF220JT5E,"R3,R4",0603,C23345,UNI-ROYAL,0603WAF220JT5E,2
0603WAF1002T5E,"R5,R6,R7,R8",0603,C25804,UNI-ROYAL,0603WAF1002T5E,4
0603WAF1001T5E,"R9,R10",0603,C21190,UNI-ROYAL,0603WAF1001T5E,2
CRCW06030000Z0EA,R11,0603,C844915,Vishay,CRCW06030000Z0EA,1
B3U-1000P,"SW1,SW2",SMD 3x2.5mm,C231329,Omron,B3U-1000P,2
ESP32-S3-WROOM-1-N8R8,U1,SMD 18x25.5mm,C2913201,Espressif Systems,ESP32-S3-WROOM-1-N8R8,1
AP63203WU-7,U2,TSOT-23-6,C780769,Diodes Incorporated,AP63203WU-7,1
USBLC6-2SC6,U3,SOT-23-6,C7519,STMicroelectronics,USBLC6-2SC6,1
