Designator,Mid X,Mid Y,Rotation,Layer
C1,117.500000,-141.300000,0.000000,Top
C2,122.300000,-142.000000,90.000000,Top
C3,105.800000,-101.800000,180.000000,Top
C4,106.000000,-104.500000,90.000000,Top
C5,106.000000,-111.300000,90.000000,Top
C6,121.500000,-151.500000,0.000000,Top
C7,118.900000,-134.300000,0.000000,Top
C8,122.300000,-145.500000,90.000000,Top
D1,126.500000,-130.800000,90.000000,Top
D2,108.000000,-146.500000,90.000000,Top
D3,128.500000,-146.500000,90.000000,Top
F1,126.000000,-150.500000,0.000000,Top
H1,101.270000,-129.130000,180.000000,Top
H2,134.290000,-129.130000,180.000000,Top
J1,117.780000,-158.000000,0.000000,Top
L1,122.300000,-138.000000,0.000000,Top
R1,108.000000,-151.500000,0.000000,Top
R2,128.500000,-153.000000,0.000000,Top
R3,106.500000,-116.300000,0.000000,Top
R4,106.500000,-117.900000,0.000000,Top
R5,106.000000,-107.750000,90.000000,Top
R6,121.500000,-123.000000,0.000000,Top
R7,122.300000,-128.000000,0.000000,Top
R8,108.500000,-124.000000,0.000000,Top
R9,108.000000,-142.000000,270.000000,Top
R10,128.500000,-143.000000,270.000000,Top
R11,117.530000,-151.750000,270.000000,Top
SW1,107.500000,-158.000000,0.000000,Top
SW2,128.500000,-158.000000,0.000000,Top
U1,117.780000,-106.500000,0.000000,Top
U2,117.500000,-138.000000,0.000000,Top
U3,115.100000,-149.000000,90.000000,Top
