Comment,Designator,Footprint,JLCPCB Part #,Manufacturer Part Number,Quantity
CL21A226MAQNNNE,"C1,C2,C8,C9,C10,C11",0805,C45783,CL21A226MAQNNNE,6
GRM21BR61H106KE43L,C3,0805,C440198,GRM21BR61H106KE43L,1
CC0603KRX7R9BB104,"C4,C6,C7,C12",0603,C14663,CC0603KRX7R9BB104,4
CL10B105KO8NNNC,C5,0603,C59782,CL10B105KO8NNNC,1
SS14-E3/61T,D1,D_SMA,C47460,SS14-E3/61T,1
XL-1608SURC-06,D2,0603,C965799,XL-1608SURC-06,1
XL-1608UBC-04,D3,0603,C965807,XL-1608UBC-04,1
MF-NSMF110/16X-2,F1,Fuse_1206_3216Metric,C25415531,MF-NSMF110/16X-2,1
254PM-1x20P-V,"H1,H2",PinSocket_1x20_P2.54mm_Vertical,C53202183,254PM-1x20P-V,2
USB4105-GF-A-120,J1,USB4105_NoUnderbodyCopper,C5184243,USB4105-GF-A-120,1
DM3AT-SF-PEJM5,J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218,DM3AT-SF-PEJM5,1
S2B-PH-K-S(LF)(SN),J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752,S2B-PH-K-S(LF)(SN),1
SRN4018-2R2M,L1,L_Bourns-SRN4018,C913207,SRN4018-2R2M,1
AO3401A,Q1,SOT-23,C15127,AO3401A,1
0603WAF5101T5E,"R1,R2",0603,C23186,0603WAF5101T5E,2
0603WAF220JT5E,"R3,R4",0603,C23345,0603WAF220JT5E,2
0603WAF1002T5E,"R5,R6,R7,R8,R13,R15,R16,R17,R18,R19",0603,C25804,0603WAF1002T5E,10
0603WAF1001T5E,"R9,R10",0603,C21190,0603WAF1001T5E,2
CRCW06030000Z0EA,R11,0603,C844915,CRCW06030000Z0EA,1
0603WAF1000T5E,R12,0603,C22775,0603WAF1000T5E,1
0603WAF1003T5E,R14,0603,C25803,0603WAF1003T5E,1
B3U-1000P,"SW1,SW2",SW_SPST_B3U-1000P,C231329,B3U-1000P,2
ESP32-S3-WROOM-1-N8R8,U1,ESP32-S3-WROOM-1_Edge,C2913201,ESP32-S3-WROOM-1-N8R8,1
TPS63001DRCR,U2,Texas_DRC0010J,C28060,TPS63001DRCR,1
USBLC6-2SC6,U3,SOT-23-6,C7519,USBLC6-2SC6,1
MCP73831T-2ACI/OT,U4,SOT-23-5,C424093,MCP73831T-2ACI/OT,1
